source,target,ligand_complex,receptor_complex,lr_means,cellphone_pvals,expr_prod,scaled_weight,lr_logfc,spec_weight,lrscore,specificity_rank,magnitude_rank
"Regulatory T cells (Tregs, CD4+)",Monocyte-like macrophages,CD24,SIGLEC10,0.1348912,0.008,-0.06698659,0.2034804144562929,-1.3583568450776466,0.01417996,,,
"Regulatory T cells (Tregs, CD4+)",Monocyte-like macrophages,CD40LG,CD40,0.22104394,0.004,0.04532699,0.27632561857352783,0.10697729646016385,0.08980385,1.1922113,,
"Regulatory T cells (Tregs, CD4+)",Monocyte-like macrophages,CD40LG,CD9,0.21659654,0.0,0.042832118,0.3336946186099361,0.8361841225618147,0.029857084,1.1988274,,
"Regulatory T cells (Tregs, CD4+)",Monocyte-like macrophages,COL1A1,CD36,0.8172394,0.0,-0.4203793,1.6538016663956951,0.7479727076679723,-0.080907814,,,
"Regulatory T cells (Tregs, CD4+)",Monocyte-like macrophages,CP,SLC40A1,0.20795819,0.018,-0.0120014055,,-0.9480709927352531,0.0065074884,,,
"Regulatory T cells (Tregs, CD4+)",Monocyte-like macrophages,CSF1,CELSR3,0.033128485,0.057,-0.0033499445,0.06454046645001635,-1.5330426808029247,-0.010598458,,,
"Regulatory T cells (Tregs, CD4+)",Monocyte-like macrophages,CSF1,CSF3R,1.0036987,0.0,0.19041008,1.008027952790773,1.5679260330493925,-0.021767,1.0853767,,
"Regulatory T cells (Tregs, CD4+)",Monocyte-like macrophages,CSF1_IL34,CSF1R,0.8732067,0.0,-0.024390163,0.8069441390974996,-0.27252170574090107,0.04121737,,,
"Regulatory T cells (Tregs, CD4+)",Monocyte-like macrophages,CSF2,CSF1R,0.85936993,0.0,-0.07310294,0.8011344090671629,-1.0113283952316443,0.03580063,,,
"Regulatory T cells (Tregs, CD4+)",Monocyte-like macrophages,CSF2,CSF3R,0.93302524,0.0,-0.07922067,0.9120019044379736,-1.491727481418458,0.04150679,,,
"Regulatory T cells (Tregs, CD4+)",Monocyte-like macrophages,CXCL1,ACKR1,-0.07448793,1.0,0.0037556363,-0.022029743823702694,-2.5512067258452746,0.013500682,,,
"Regulatory T cells (Tregs, CD4+)",Monocyte-like macrophages,CXCL1,CXCR1,-0.05642163,1.0,0.0025941075,-0.058276092142696814,-5.651663148231231,-0.00571327,,,
"Regulatory T cells (Tregs, CD4+)",Monocyte-like macrophages,CXCL1,CXCR2,-0.04740356,0.56,0.002014313,-0.05190979849836616,-5.447799342246014,-0.0021990095,,,
"Regulatory T cells (Tregs, CD4+)",Monocyte-like macrophages,CXCL10,ACKR1,-0.096591406,1.0,0.008920316,-0.02668049746927905,-3.053892677933914,0.010294899,,,
"Regulatory T cells (Tregs, CD4+)",Monocyte-like macrophages,CXCL10,CCR3,-0.05022559,1.0,0.0018399563,-0.029610263263963953,-4.455913817325461,-0.16225645,,,
"Regulatory T cells (Tregs, CD4+)",Monocyte-like macrophages,CXCL10,CXCR3,-0.14293143,0.895,0.015996737,-0.11377322004335555,-4.736459596316742,0.03842762,,,
"Regulatory T cells (Tregs, CD4+)",Monocyte-like macrophages,CXCL11,ACKR1,-0.07584946,1.0,0.00407377,,-0.6928822423494275,0.0061687934,,,
"Regulatory T cells (Tregs, CD4+)",Monocyte-like macrophages,CXCL11,CCR3,-0.029483642,1.0,0.0008402795,,-2.0949033817409743,-0.09722547,,,
"Regulatory T cells (Tregs, CD4+)",Monocyte-like macrophages,CXCL11,CCR5,-0.005226858,0.339,-0.0008513564,,-0.9762575725034551,-0.0026038613,,,
"Regulatory T cells (Tregs, CD4+)",Monocyte-like macrophages,CXCL11,CXCR3,-0.12218949,1.0,0.007305462,,-2.375449160732255,0.023026165,,,
"Regulatory T cells (Tregs, CD4+)",Monocyte-like macrophages,CXCL13,ACKR1,-0.0035487823,0.016,-0.012819946,0.12341536103813647,0.8812111838783317,-0.022153651,,,
"Regulatory T cells (Tregs, CD4+)",Monocyte-like macrophages,CXCL13,CXCR3,-0.049888812,0.653,-0.022989916,0.036322638464059975,-0.8013557345044959,-0.08269261,,,
"Regulatory T cells (Tregs, CD4+)",Monocyte-like macrophages,CXCL13,CXCR5,-0.0056453682,0.019,-0.01328007,0.12071220831267213,0.9128461547701083,-0.022083966,,,
"Regulatory T cells (Tregs, CD4+)",Monocyte-like macrophages,CXCL2,ACKR1,-0.12821706,1.0,0.016309937,-0.04292696490666591,-3.0132480614386297,0.034894478,,,
"Regulatory T cells (Tregs, CD4+)",Monocyte-like macrophages,CXCL2,CXCR1,-0.110150754,1.0,0.011265663,-0.07917331322566003,-6.113704483824586,-0.014766777,,,
"Regulatory T cells (Tregs, CD4+)",Monocyte-like macrophages,CXCL2,CXCR2,-0.10113268,0.648,0.008747737,-0.07280701958132937,-5.909840677839368,-0.00568366,,,
"Regulatory T cells (Tregs, CD4+)",Monocyte-like macrophages,CXCL8,ACKR1,-0.13735493,0.956,0.018445086,-0.06445711939435277,-3.187567904536754,-0.009916543,,,
"Regulatory T cells (Tregs, CD4+)",Monocyte-like macrophages,CXCL8,CD79A,-0.21601078,1.0,0.043281503,-0.07266154081187093,-2.5284735650903847,-0.009799636,,,
"Regulatory T cells (Tregs, CD4+)",Monocyte-like macrophages,CXCL8,CXCR1,-0.11928862,0.97,0.012740461,-0.10070346771334689,-6.288024326922709,0.0041965204,,,
"Regulatory T cells (Tregs, CD4+)",Monocyte-like macrophages,CXCL8,CXCR2,-0.11027056,0.847,0.009892912,-0.09433717406901623,-6.084160520937493,0.0016152201,,,
