source,target,ligand_complex,receptor_complex,lr_means,cellphone_pvals,expr_prod,scaled_weight,lr_logfc,spec_weight,lrscore,specificity_rank,magnitude_rank
Monocytes/DC,Naive/Memory CD8 T cells,CXCL9,KIR2DL3,-0.06494407,0.986,0.0016007068,-0.06935192087375816,-3.343410722308874,0.008469341,,1.0,
Monocytes/DC,Naive/Memory CD8 T cells,FADD,TRAF2,-0.048351854,0.997,0.0022702913,-0.08391432542899624,-0.1751484270074859,0.0009908242,,0.8732680918569695,
Monocytes/DC,Naive/Memory CD8 T cells,FASLG,TNFRSF10B,-0.048501752,0.997,0.0022346126,-0.10143182488822322,-1.7944846152934368,0.0006561254,,0.8732680918569695,
Monocytes/DC,Naive/Memory CD8 T cells,FCER2,CR2,-0.09801573,1.0,0.00913442,-0.06534437259208958,-5.584341648203977,0.0069705565,,1.0,
Monocytes/DC,Naive/Memory CD8 T cells,FN1,C5AR1,-0.23025106,1.0,0.05297098,-0.38428076138803124,-3.431823779743372,0.0005547175,,1.0,
Monocytes/DC,Naive/Memory CD8 T cells,FN1,CD79A,-0.23874104,1.0,0.05676727,-0.2937298981208382,-2.533204252235742,-0.0035876038,,1.0,
Monocytes/DC,Naive/Memory CD8 T cells,FN1,ITGA2,-0.13184649,1.0,0.008969413,-0.23031930728890396,-4.775234026031842,-0.0024119294,,1.0,
Monocytes/DC,Naive/Memory CD8 T cells,GAL,HLA-DPA1,-0.16343477,1.0,0.0026090606,-0.2672673424498148,-1.6158797338201247,-0.001972158,,1.0,
Monocytes/DC,Naive/Memory CD8 T cells,GZMA,PARD3,-0.15067174,1.0,0.0077537983,-0.2017134893030622,-3.3475810527923446,-0.013664258,,1.0,
Monocytes/DC,Naive/Memory CD8 T cells,HLA-DPA1,LAG3,-0.09113453,1.0,-0.053037588,-0.24755881462194995,-0.14604730529998156,-0.0028881426,,1.0,
Monocytes/DC,Naive/Memory CD8 T cells,HLA-DPB1,LAG3,-0.119656354,1.0,-0.061967246,-0.27865563879953703,-0.17731447124392818,-0.003483846,,1.0,
Monocytes/DC,Naive/Memory CD8 T cells,HLA-DQA1,LAG3,-0.08276622,1.0,-0.05041762,-0.2129572577809321,-0.5435017567942617,-0.0030898827,,1.0,
Monocytes/DC,Naive/Memory CD8 T cells,HLA-DQB1,LAG3,-0.08824554,1.0,-0.0521331,-0.21896381648648527,-0.18936449850739268,-0.0036077714,,1.0,
Monocytes/DC,Naive/Memory CD8 T cells,HLA-DRA,LAG3,-0.06962989,1.0,-0.046304878,-0.27455926607268644,-0.08693513364761152,-0.0021407502,,1.0,
Monocytes/DC,Naive/Memory CD8 T cells,HLA-DRB1,LAG3,-0.029755771,1.0,-0.03382102,-0.19987651757343208,-0.09542749123687566,-0.0016807262,,1.0,
Monocytes/DC,Naive/Memory CD8 T cells,HLA-DRB5,LAG3,0.0020411164,0.999,-0.023865998,-0.10868059572868188,-0.35518374967194655,-0.0019540694,,1.0,
Monocytes/DC,Naive/Memory CD8 T cells,IL10,CD70,-0.02240041,0.988,-0.001717388,-0.06628852926922532,-0.5608007991094981,-0.0007002423,,0.6465760980444192,
Monocytes/DC,Naive/Memory CD8 T cells,IL1B,ADRB2,0.15224627,0.224,0.0027490926,0.022216889082821056,1.1967246764920159,0.00021886443,0.66674066,0.19283217192867227,
Monocytes/DC,Naive/Memory CD8 T cells,IL1B,IL1R2_IL1RAP,0.10015408,0.68,-0.028003976,-0.025854770902148168,-0.28225868246545005,-0.0010727677,,0.5655612993477559,
Monocytes/DC,Naive/Memory CD8 T cells,IL4,IL21R,0.014590855,0.184,-0.0008235172,0.011719624771339823,-0.7472740492776713,0.0047347015,,0.08249293809636422,
Monocytes/DC,Naive/Memory CD8 T cells,IL6,FCGR3B,-0.068503976,1.0,0.0029186406,-0.08384661048591313,-5.239646206225887,-0.006180388,,1.0,
Monocytes/DC,Naive/Memory CD8 T cells,L1CAM,CD9,-0.0566433,1.0,0.0031828706,-0.18898532401957285,-4.269903421652701,0.003791068,,1.0,
Monocytes/DC,Naive/Memory CD8 T cells,L1CAM,ERBB2,-0.056392755,0.99,0.0031519523,-0.07569429755646452,-4.229116280740048,0.1195332,,0.5804677869426966,
Monocytes/DC,Naive/Memory CD8 T cells,LGALS3,LAG3,-0.020811498,1.0,-0.031020734,-0.17920591935198354,-0.14624763590320322,-0.002283154,,1.0,
Monocytes/DC,Naive/Memory CD8 T cells,LTF,IGDCC4,0.016731521,0.608,-0.0006347816,-0.017223096937385485,-1.9118796414040145,0.002633356,,0.20799790385235664,
Monocytes/DC,Naive/Memory CD8 T cells,LTF,IL1RL1,-0.026479997,0.998,-0.0046945857,-0.08386891066807506,-4.341386517266479,-0.0007980479,,1.0,
Monocytes/DC,Naive/Memory CD8 T cells,NTNG2,LRRC4,0.17529847,0.0,-0.016558327,0.22481042476958238,-1.3714457813995353,-0.0803985,,0.4724208294912742,
Monocytes/DC,Naive/Memory CD8 T cells,PNOC,OPRL1,-0.07121209,1.0,0.004938062,-0.07071985474209383,-6.36326443270811,-0.012013501,,1.0,
Monocytes/DC,Naive/Memory CD8 T cells,PSAP,CD1B,0.083911076,0.999,-0.009924511,-0.10805983174111937,-3.6743047636370196,-0.001666269,,1.0,
Monocytes/DC,Naive/Memory CD8 T cells,S100A12,CD36,0.9647459,0.0,-0.4116133,0.8371115445920105,1.1137461079818611,-0.026861558,,0.03539473069053451,
Monocytes/DC,Naive/Memory CD8 T cells,S100A8,CD36,2.0552714,0.0,-0.8344133,1.5085528455535018,1.4097690894375727,-0.016016355,,0.03539473069053451,
Monocytes/DC,Naive/Memory CD8 T cells,S100A8,CD68,1.9898646,0.0,-1.3974863,1.4171482300484088,1.6798144684469611,-0.016491627,,0.021333834814914965,
Monocytes/DC,Naive/Memory CD8 T cells,S100A9,CD36,2.1411793,0.0,-0.86772007,1.6118456768240392,1.36440599175849,-0.013943299,,0.03539473069053451,
Monocytes/DC,Naive/Memory CD8 T cells,S100A9,CD68,2.0757725,0.0,-1.4532689,1.5204410613189465,1.6344513707678785,-0.014357055,,0.023265260335293674,
Monocytes/DC,Naive/Memory CD8 T cells,SAA1,CD36,-0.122215256,1.0,0.009804818,-0.1960609876570785,-5.192607397538742,0.02421697,,1.0,
Monocytes/DC,Naive/Memory CD8 T cells,SAA1,FPR1,-0.12543504,1.0,0.010130525,-0.1901496151324848,-6.054897083887553,0.018689664,,1.0,
Monocytes/DC,Naive/Memory CD8 T cells,SCGB3A1,MARCO,-0.067846395,1.0,0.0018276302,-0.11977859419364666,-2.0119376318880997,-0.007782534,,1.0,
Monocytes/DC,Naive/Memory CD8 T cells,SCGB3A1,NOTCH3,-0.03900258,0.968,0.00095289235,-0.051271692042588704,-3.803921637171313,-0.09581627,,1.0,
Monocytes/DC,Naive/Memory CD8 T cells,SORBS1,ITGA1,0.2063987,0.0,-0.014030566,0.08846841965807974,-1.9633928192425563,-8.837817,,0.9517351272116334,
Monocytes/DC,Naive/Memory CD8 T cells,THBS1,CD36,-0.15807535,1.0,0.023707882,-0.24617608708872846,-5.565665828701429,0.001159635,,1.0,
Monocytes/DC,Naive/Memory CD8 T cells,TNF,FFAR2,-0.061861157,1.0,0.0036724913,-0.1278057179362247,-4.337229743518572,0.00046731238,,1.0,
Monocytes/DC,Naive/Memory CD8 T cells,TNF,ICOS,-0.035379823,0.999,0.0010540736,-0.10886080662445687,-0.47674177921335925,0.00048242978,,1.0,
Monocytes/DC,Naive/Memory CD8 T cells,TNF,NOTCH1,-0.071723804,1.0,0.004647688,-0.14185918308394976,-0.9588649994417396,0.0012283142,,1.0,
Monocytes/DC,Naive/Memory CD8 T cells,TNF,TRAF2,-0.05300667,1.0,0.0027969782,-0.11819556231627504,-0.6938991788070061,0.0007265233,,1.0,
Monocytes/DC,Naive/Memory CD8 T cells,TNFSF4,TNFRSF4,-0.0801788,1.0,0.0062578334,-0.10638518690128733,-4.843713355517872,0.013564867,,1.0,
