source,target,ligand_complex,receptor_complex,lr_means,cellphone_pvals,expr_prod,scaled_weight,lr_logfc,spec_weight,lrscore,specificity_rank,magnitude_rank
T cells,Epithelial (ambiguous),GNAS,CRHR1,0.40548715,0.291,0.053861074,0.07788374508973787,0.06046119013509434,0.0072690845,0.7309353,1.0,0.9820059061140586
Epithelial (ambiguous),Basal epithelial,ACTR2,LDLR,0.2776872,0.91,0.07496335,-0.005799777850092044,-0.14359438322141396,0.0034776982,0.76218003,1.0,0.9820059061140586
Epithelial (ambiguous),CAFs,RGMB,BMPR2,0.16142562,0.0,0.021136208,0.3210836207773705,0.18683506096638852,0.014109365,0.62987083,0.25928905885966236,0.9820109214474122
Cycling T cells,CD8 T cells,TNF,TNFRSF1B,0.5640452,0.0,0.31523496,0.23407608062412527,0.29274124639158294,0.01690897,0.8679356,0.47685774947800424,0.9820449086546346
CAFs,Macrophages,MFAP5,NOTCH1,0.40915492,0.0,0.0538558,1.0097742172542385,0.8842292975628895,0.04687316,0.7309257,0.039063462978421094,0.9821052780534544
CD8 T cells,CAFs,TNFSF9,TRAF2,0.17709641,0.0,0.021137565,0.20103325859376983,0.3883574093347009,0.008062753,0.62987834,0.5940528348412727,0.9821715834738944
T cells,pDC,HLA-DQB1,CD4,0.50499314,0.0,0.24751712,0.4385991502202203,0.1298024741694493,0.009805435,0.85344857,0.35736818660626263,0.9822046566964412
T cells,CAFs,IL16,CD9,0.2776541,1.0,0.0658416,-0.04903020338356128,-0.33522079190515974,0.002652084,0.7502217,1.0,0.9822046566964412
Cycling T cells,CD8 T cells,HLA-DQA2,LAG3,0.27761352,0.0,0.07320105,0.2980559455849788,0.3192945647206106,0.009329456,0.76001716,0.3160592944155987,0.9823040420432455
Cycling epithelial,Basal epithelial,GAL,HLA-DPA1,0.1456699,1.0,0.021144306,0.2915614233850449,-1.0755587393103925,0.0039649126,0.62991554,1.0,0.9823322369727543
NK cells,Macrophages,ACTR2,ADRB2,0.28143635,0.228,0.053837467,0.030760104838636157,0.05089241331033764,0.0048890337,0.7308921,1.0,0.9824034340940937
Basal epithelial,Memory T cells,CLCF1,SORL1,0.27757546,0.0,0.0712153,0.6432235924375721,0.6010227014806578,0.03755689,0.7575002,0.05493406895433825,0.9824034340940937
Epithelial (ambiguous),Cycling T cells,GNAI2,ADCY7,0.14578693,1.0,0.021145348,-0.04434915553805774,-0.3091455331736831,0.0028179768,0.62992126,1.0,0.9824928819442189
Endothelial cells,CAFs,PDGFD,PDGFRA_PDGFRB,0.27755672,0.0,0.055625077,1.169529954596543,0.6595668414130422,0.19038402,0.7340924,0.05493406895433825,0.9825028328492111
CAFs,Cycling T cells,FAM3C,PDCD1,0.5639324,0.0,0.31463414,0.8966343748924614,0.7745417696749799,0.058779385,0.8678262,0.05493406895433825,0.982539332899246
CAFs,Endothelial cells,IGF2,INSR,0.5028795,0.0,0.24757111,1.4888027752625241,1.2229069486525677,0.21075903,0.8534622,0.005811295438679798,0.9826022383088242
Cycling T cells,CAFs,GNAI2,UNC5B,0.56389666,0.0,0.26392683,0.894883067413294,0.6110273983385843,0.04744754,0.8574176,0.05493406895433825,0.9826383259919411
Epithelial (ambiguous),Epithelial (ambiguous),TNF,TNFRSF21,0.15136702,1.0,0.021146024,0.06616894543449878,-0.5020778823131259,0.0044641774,0.629925,1.0,0.9826535183885143
Macrophages,Memory T cells,HGF,ITGB1,0.2988129,1.0,0.05381712,0.1895105592512411,-0.10136499711113886,0.013920879,0.730855,1.0,0.9827019053847625
Basal epithelial,PVL,COL6A2,ITGA1_ITGB1,0.5638347,0.0,0.29850817,0.6980948162852958,0.3216049931732905,0.02530798,0.8647795,0.09018164421062828,0.9827371946125626
Macrophages,Endothelial cells,VEGFA,ITGA9,0.27748838,0.0,0.06285443,1.1659931725694195,0.6017601668782547,0.18185046,0.74584615,0.05493406895433825,0.9828013242712375
Plasma cells,Cycling epithelial,TGFB1,ITGB1,0.5171309,0.885,0.24764772,-0.0724023216966889,-0.28556801343058835,0.0032785651,0.85348153,1.0,0.9828013242712375
PVL,Epithelial (ambiguous),TGFB1,EGFR,0.29502782,0.0,0.05381013,0.2575078352446704,0.0035292134170248346,0.010495619,0.73084223,0.7979799537178677,0.9828013242712375
Memory T cells,Cycling epithelial,FABP5,RXRA,0.15712923,1.0,0.021147404,-0.09336570674441634,-0.4069576246652474,0.0022684545,0.6299326,1.0,0.9828141977713113
Basal epithelial,CD8 T cells,HBEGF,CD9,0.27747804,1.0,0.07070435,0.011695511867439556,-0.41369789936106555,0.0019426983,0.7568382,1.0,0.9829007498628872
Luminal epithelial,Luminal epithelial,GNAS,CRHR1,0.52039886,0.0,0.053809706,0.16699661706764649,-0.01595295220501341,0.007262151,0.73084146,0.8833978955256155,0.9829007498628872
Cycling T cells,Endothelial cells,ACTR2,LDLR,0.5638078,0.0,0.2714239,0.45251129781113253,0.3939911043285559,0.012591893,0.85912114,0.14765856030242977,0.9829349386865506
PVL,pDC,ADAM17,RHBDF2,0.15479657,0.001,0.021151803,0.2684103596116769,0.11420512196905769,0.007373565,0.62995684,0.9157183770188153,0.9829748171592152
NK cells,NK cells,GNAI2,CXCR3,0.27747422,0.496,0.07578273,0.012839858159556128,0.0625385488497977,0.0048867203,0.7631639,1.0,0.9830001821599375
Macrophages,PVL,ALCAM,NRP1,0.50668544,0.0,0.24769978,1.0935179966106776,0.8340847265602632,0.053189795,0.8534947,0.04774802070930431,0.9830001821599375
CAFs,Cycling epithelial,CALM3,INSR,0.36164802,0.0,0.05380762,0.11157871509794301,-0.031004444405200726,0.0043699155,0.73083764,1.0,0.9830001821599375
Basal epithelial,PVL,CD99,CD81,0.5636544,1.0,0.25665823,-0.19234764164300905,-0.5162356042110406,0.0019097729,0.855702,1.0,0.983132818635631
Memory T cells,Epithelial (ambiguous),LRPAP1,SORL1,0.15156582,1.0,0.02115321,-0.14818386444164844,-0.2207706797421925,0.001964282,0.6299646,1.0,0.9831354280206288
Macrophages,pDC,CXCL9,CXCR3,0.56364846,0.0,0.29596263,0.8752230408578006,1.2249926009646532,0.08453779,0.86427796,0.05493406895433825,0.9832316986433103
Cycling T cells,Basal epithelial,APOE,ABCA1,0.1456061,0.996,0.021167172,-0.04309409477167085,-1.2577610066425602,0.001384444,0.6300415,1.0,0.9832960303557785
Macrophages,Plasma cells,ADAM28,ITGA4,0.27739513,0.003,0.076826096,0.35737136851895446,0.10272563311888036,0.011201651,0.76439744,1.0,0.9832985192857533
CAFs,Macrophages,ANGPTL2,LILRB2,0.56362,0.0,0.31604707,2.103665537779482,1.1098869877777429,0.44270983,0.868083,0.003296833665801421,0.9833307077000788
CAFs,Plasma cells,ADAM10,CADM1,0.27738863,0.0,0.07168267,0.6277009288935187,0.3456731849834991,0.01718722,0.75810045,0.0748771463111688,0.9833982334386742
Macrophages,Macrophages,C3,ITGAX,0.50258803,0.0,0.2477556,1.3651927404611144,0.7440333467815747,0.18077405,0.85350883,0.05493406895433825,0.9833982334386742
CD8 T cells,Epithelial (ambiguous),NUCB2,ERAP1,0.16512343,0.995,0.021172566,-0.017114835384708236,0.005885377794389662,0.0028715816,0.63007116,1.0,0.9834566241648903
CAFs,Cycling epithelial,SPON1,APP,0.5009825,0.0,0.24781935,0.9382316486577381,0.43841620734873266,0.04005815,0.85352486,0.05493406895433825,0.9834976992833155
Luminal epithelial,CD8 T cells,CD14,ITGB2,0.33025244,0.0,0.053774364,0.02415639409049057,-0.02723635390584392,0.004292948,0.7307768,1.0,0.9834976992833155
PVL,T cells,THBS1,ITGA4,0.5635645,0.0,0.3173389,0.5389948530849988,0.7369564728908277,0.019460415,0.8683164,0.054965555349649524,0.9835284790968157
Basal epithelial,Endothelial cells,EDIL3,ITGAV,0.27738333,0.0,0.06947281,0.5742528581522715,0.4638509842012878,0.030698275,0.75521773,0.05493406895433825,0.983597171834715
PVL,CAFs,PLAU,IGF2R,0.14627193,0.0,0.02117399,0.08931920178074432,0.023175262909441247,0.005074838,0.63007903,1.0,0.9836172608999756
PVL,CD8 T cells,INHBA,ACTR2,0.2773736,0.238,0.06555951,0.053538194467063274,0.061891182273686285,0.006405502,0.7498192,1.0,0.9836966510930985
Endothelial cells,Cycling epithelial,LAMA4,CD44,0.56340224,0.973,0.30153996,0.2908514159530709,-0.10075290980170792,0.008943604,0.8653692,1.0,0.9837263863752919
CAFs,Cycling epithelial,PSEN1,NOTCH2,0.1465373,0.006,0.021174703,0.08999368878196629,-0.010649964238540394,0.005433817,0.6300829,1.0,0.9837778376549601
B cells,Basal epithelial,TGFB1,ITGB8,0.27736682,0.024,0.06622627,0.3580696050795561,0.11990430817156042,0.013662639,0.7507671,1.0,0.9837961370586916
Macrophages,Cycling epithelial,CXCL10,SDC4,0.5633385,0.0,0.30631644,0.8983434107378938,1.5158994329821789,0.056079444,0.8662821,0.05493406895433825,0.9838252800348419
Endothelial cells,T cells,VCAN,ITGB1,0.5147143,0.0,0.24784723,0.10300985158760294,0.058488639245406426,0.0068546105,0.8535319,1.0,0.9838956297317213
pDC,Endothelial cells,LGALS9,SLC1A5,0.27736208,0.001,0.07665885,0.23441743181921038,0.18603223404885444,0.007700747,0.76420116,0.9157183770188153,0.9838956297317213
Endothelial cells,Epithelial (ambiguous),JAM2,ITGA3_ITGB1,0.38418826,0.0,0.053759765,1.225148630823947,0.7901173453671413,0.054560922,0.7307501,0.05493406895433825,0.9838956297317213
CAFs,Cycling T cells,FAM3C,LAMP1,0.5633375,0.0,0.31389388,0.40923685795553383,0.28808810976470317,0.008060637,0.8676911,0.44730005269814815,0.9839241759671484
Luminal epithelial,Endothelial cells,SLC6A8,LIFR,0.18138917,0.0,0.021177158,0.8369733502933892,0.453047353574609,0.0904657,0.63009644,0.05493406895433825,0.9839384058845855
CAFs,Cycling epithelial,COL4A2,CD44,0.5020717,1.0,0.2478907,-0.062292447776124305,-0.5400687217649607,0.003999697,0.85354286,1.0,0.9839953842476516
Endothelial cells,Cycling T cells,VCAM1,ITGA4_ITGB7,0.2773524,0.0,0.076911405,0.5866147642906587,0.533777428905507,0.051962737,0.76449734,0.05493406895433825,0.9839953842476516
Luminal epithelial,pDC,PIP,CD4,0.5633302,0.0,0.31654164,1.076793437147669,1.7460353356285778,0.12235018,0.8681725,0.025956359575671367,0.9840232009657879
CAFs,Endothelial cells,MAML2,NOTCH1,0.27734777,0.0,0.0699223,0.4815932153007536,0.34923068408047997,0.020764355,0.7558133,0.08269802234212462,0.9840948903534317
PVL,Cycling T cells,TXLNA,STX4,0.14840725,0.094,0.021181365,0.0971837541867245,0.08198216039984818,0.0050000916,0.6301196,1.0,0.9840989655890789
